,0,1,2,3,4,5,6,7,8
347,2.0,2.0,0.27,0.635,2.0,2.0,1.048,1.217,0.998
348,2.0,2.0,0.407,0.662,2.0,2.0,1.013,1.156,1.096
349,2.0,1.075,2.0,0.116,2.0,2.0,1.078,2.0,1.956
350,2.0,2.0,0.159,0.633,2.0,2.0,2.0,1.032,2.0
351,2.0,2.0,0.7,0.662,2.0,2.0,2.0,1.0,1.971
352,2.0,1.093,0.172,0.661,2.0,2.0,2.0,0.918,2.0
353,2.0,1.184,0.269,0.655,1.955,2.0,2.0,1.09,1.825
354,2.0,1.01,0.166,0.736,2.0,2.0,1.081,2.0,1.769
355,2.0,2.0,0.116,0.685,2.0,2.0,1.043,1.183,2.0
356,2.0,2.0,0.214,0.641,1.956,2.0,1.046,1.242,0.887
357,2.0,2.0,0.103,0.627,2.0,2.0,1.034,1.115,2.0
358,2.0,0.922,0.306,0.828,1.996,2.0,1.142,2.0,0.782
359,2.0,2.0,0.693,0.158,2.0,2.0,1.041,0.643,1.043
360,2.0,1.047,0.084,0.704,2.0,1.963,1.005,2.0,2.0
361,2.0,2.0,0.113,0.599,2.0,2.0,1.022,1.226,2.0
362,2.0,2.0,0.203,0.665,2.0,2.0,1.041,1.232,0.872
363,2.0,2.0,0.45,0.656,2.0,2.0,0.987,1.141,1.075
364,2.0,2.0,0.252,0.66,1.984,2.0,1.005,1.17,1.296
